Dance Company,Date,Latitude,Longitude,City,Venue,Production 
Dorrance Dance ,1/10/15,42.68400365,-73.84798682,New York,Dany Studios and Pace University,The Initial Approach
Dorrance Dance ,3/6/15,39.0840054,-77.1527573,Rockville,American Dance Institute ,The Blues Project 
Dorrance Dance ,3/13/15,42.3602534,-71.0582912,Boston,World Music/CRASHarts at the ICA,The Blues Project 
Dorrance Dance ,4/4/15,42.68400365,-73.84798682,New York,The Joyce Theater ,The Blues Project 
Dorrance Dance ,4/22/15,42.68400365,-73.84798682,New York,14th Street Y,Rhythm in Motion
Dorrance Dance ,4/29/15,45.5202471,-122.6741949,Portland,"White Bird, Schnitzer Concert Hall",The Blues Project 
Dorrance Dance ,5/2/15,34.9528779,-120.453263,Santa Barbara,The Granada Theatre at UCSB,The Blues Project 
Dorrance Dance ,6/30/15,42.68400365,-73.84798682,New York,Union Square Theatre,The Initial Approach
Dorrance Dance ,7/1/15,42.3320317,-73.0828803,Becket,Jacob's Pillow Festival ,The Blues Project 
Dorrance Dance ,7/24/15,42.68400365,-73.84798682,New York,Lincoln Center Out of Doors,The Blues Project 
Dorrance Dance ,8/20/15,41.3918832,-70.62085428,Martha's Vineyard,The Yard,The Initial Approach
Dorrance Dance ,9/12/15,41.6472761,1.1409115,Tarrega,Col.legi Sant Josep Vedruna,The Initial Approach
Dorrance Dance ,9/25/15,41.5623209,-72.6506488,Middletown,CFA Theater Wesleyan University,Dorrance Dance in Concert
Dorrance Dance ,9/30/15,43.653963,-79.387207,Toronto,Sony Centre,SOUNDspace
Dorrance Dance ,10/8/15,42.68400365,-73.84798682,New York,NY City Center,Myelination
Dorrance Dance ,10/22/15,37.5385087,-77.43428,Richmond,University of Richmond ,The Blues Project 
Dorrance Dance ,10/29/15,44.4723989,-73.2114941,Burlington,Flynn Center,The Initial Approach
Dorrance Dance ,11/4/15,43.4547284,-76.5095967,Oswego,SUNY Oswego,SOUNDspace
Dorrance Dance ,11/19/15,44.9772995,-93.2654692,Minneapolis,Carlson Family Stage UMN,The Blues Project 
Dorrance Dance ,12/2/15,39.9523993,-75.1635899,Philadelphia,Prince Theater,Dorrance Dance in Concert
Dorrance Dance ,12/15/15,42.68400365,-73.84798682,New York,Rainbow Room,Private Holiday Event
Dorrance Dance ,1/15/16,42.68400365,-73.84798682,New York,DANY Studios   ,APAP
Dorrance Dance ,1/20/16,42.68400365,-73.84798682,New York,Lincoln Center Education Program's Meet the Artist School Series,Dorrance Dance in Concert
Dorrance Dance ,1/29/16,40.9645293,-76.8844101,Lewisburg,Bucknell University,Dorrance Dance in Concert
Dorrance Dance ,3/4/16,40.9487097,-73.7326309,Mamaroneck,Emelin Theatre,SOUNDspace
Dorrance Dance ,3/9/16,33.7490987,-84.3901849,Atlanta,Ferst Center for the Arts Georgia Tech,Dorrance Dance in Concert
Dorrance Dance ,3/30/16,42.1290657,-80.0852421,Erie,Mary D'Angelo Performing Arts Center Mercyhurst University,Dorrance Dance in Concert
Dorrance Dance ,4/2/16,40.4416941,-79.9900861,Pittsburgh,Byham Theater,Dorrance Dance in Concert
Dorrance Dance ,4/7/16,41.5051613,-81.6934446,Cleveland,Cleveland Public Theatre,Dorrance Dance in Concert
Dorrance Dance ,4/26/16,42.68400365,-73.84798682,New York,The Joyce Theater ,Double Down 
Dorrance Dance ,5/14/16,39.1731621,-77.2716502,Germantown,BlackRock Center for the Arts,Dorrance Dance in Concert
Dorrance Dance ,6/23/16,49.872775,8.651177,Darmstadt,Staatstheater Darmstadt,Double Down 
Dorrance Dance ,6/26/16,42.2591236,-77.782326,Norwood,Norwood Village Green Concert Series,Dorrance Dance in Concert
Dorrance Dance ,7/2/16,41.3918832,-70.62085428,Martha's Vineyard,The Yard,Double Down 
Dorrance Dance ,7/14/16,44.100351,-70.2147764,Lewiston,Bates Dance Festival,Dorrance Dance in Concert
Dorrance Dance ,7/15/16,40.6475997,-73.1459474,Fire Island,Whyte Hall,SOUNDspace
Dorrance Dance ,7/16/16,44.100351,-70.2147764,Lewiston,Bates Dance Festival,Dorrance Dance in Concert
Dorrance Dance ,8/2/16,39.6426439,-106.3862088,Vail,Vail International Dance Festival,Dorrance Dance in Concert
Dorrance Dance ,8/10/16,42.3320317,-73.0828803,Becket,Jacob's Pillow Festival ,Dorrance Dance in Concert
Dorrance Dance ,9/9/16,29.6519396,-82.3249961,Gainesville,University of Florida,Double Down 
Dorrance Dance ,9/14/16,35.9131542,-79.05578,Chapel Hill,University of North Carolina,Double Down 
Dorrance Dance ,10/5/16,38.8949549,-77.0366456,Washington,The Kennedy Center,The Blues Project 
Dorrance Dance ,10/14/16,45.421106,-75.690308,Ottawa,National Centre,Double Down 
Dorrance Dance ,10/21/16,42.2681569,-83.7312291,Ann Arbor,University of Michigan,SOUNDspace
Dorrance Dance ,11/4/16,41.8755546,-87.6244212,Chicago,Museum of Contemporary Art Chicago,Double Down 
Dorrance Dance ,11/11/16,47.6038321,-122.3300624,Seattle,The Moore Theatre,The Blues Project 
Dorrance Dance ,11/15/16,42.68400365,-73.84798682,New York,The Joyce Theater ,The Blues Project 
Dorrance Dance ,12/1/16,45.4972159,-73.6103642,Montreal,Danse Danse,Double Down 
Dorrance Dance ,12/9/16,36.1622296,-86.7743531,Nashville,OZ Arts Nashville,Double Down 
Dorrance Dance ,1/13/17,42.3602534,-71.0582912,Boston,World Music/CRASHarts at the ICA,Dorrance Dance in Concert
Dorrance Dance ,2/3/17,51.5073219,-0.1276474,London,Sadler's Wells,Double Down 
Dorrance Dance ,2/16/17,42.68400365,-73.84798682,New York,Guggenheim Museum,Works & Process Rotunda Project
Dorrance Dance ,2/24/17,22.2774379,114.173029,Wan Chai,Hong Kong Arts Festival,Double Down 
Dorrance Dance ,3/3/17,42.712207,-73.2035986,Williamstown,Williams College,The Blues Project 
Dorrance Dance ,3/8/17,34.9528779,-120.453263,Santa Barbara,The Granada Theatre at UCSB,Double Down 
Dorrance Dance ,3/16/17,37.7792808,-122.4192363,San Francisco,YBCA Theatre,The Blues Project 
Dorrance Dance ,3/31/17,42.8867166,-78.8783922,Buffalo,University of Buffalo Center for the Arts,Dorrance Dance in Concert
Dorrance Dance ,4/7/17,43.703622,-72.288666,Hanover,Dartmouth College Hopkins Center for the Arts,The Blues Project 
Dorrance Dance ,7/12/17,51.5073219,-0.1276474,London,Sadler's Wells,Double Down 
Dorrance Dance ,7/18/17,48.7784485,9.1800132,Stuttgart,Theaterhaus Stuttgart,Double Down 
Dorrance Dance ,8/10/17,39.6426439,-106.3862088,Vail,Vail International Dance Festival,Double Down 
Dorrance Dance ,10/2/17,42.68400365,-73.84798682,New York,New York City Center ,Myelination
Dorrance Dance ,10/12/17,34.0736204,-118.4003563,Beverly Hills,Wallis Annenburg Center for the Performing Arts,Myelination
Dorrance Dance ,10/27/17,37.8708393,-122.2728639,Berkeley,UC Berkely,Myelination
Dorrance Dance ,10/29/17,38.545379,-121.7445835,Davis,UC Davis Jackson Hall Mondavi Center,Myelination
Dorrance Dance ,11/15/17,41.8084314,-72.2495231,Storrs,"Jorgensen Center for the Performing Arts, UCONN",Double Down 
Dorrance Dance ,12/19/17,42.68400365,-73.84798682,New York,The Joyce Theater ,Myelination
Dorrance Dance ,1/19/18,26.6159698,-80.0569927,Lake Worth,Palm Beach State College,"Jungle Blues, Three to One, Myelination "
Dorrance Dance ,1/28/18,35.612661,-77.3663538,Greenville,Write Auditorium ECU,"Jungle Blues, Three to One, Myelination "
Dorrance Dance ,2/2/18,37.5385087,-77.43428,Richmond,"Modlin Center for the Arts, Alice Jepson Theatre","Jungle Blues, Three to One, Myelination "
Dorrance Dance ,2/23/18,37.2296566,-80.4136767,Blacksburg,"Moss Arts Center, Virginia Tech",Double Down 
Dorrance Dance ,2/27/18,40.7944504,-77.8616386,State College,Penn State Eisenhower Auditorium ,Double Down 
Dorrance Dance ,3/2/18,39.0461292,-77.1130097,North Bethesda,Strathmore-The Music Center ,Double Down 
Dorrance Dance ,3/7/18,45.7578137,4.8320114,Lyon,Maison de la Danse,Double Down 
Dorrance Dance ,3/13/18,45.7774551,3.0819427,Clermont-Ferrand,La Comedie de Clermont-Ferrand Scene Nationale,Double Down 
Dorrance Dance ,3/16/18,50.938361,6.959974,Cologne,"Staatenhaus Staal 2, Oper Koln",SOUNDspace
Dorrance Dance ,4/7/18,47.6038321,-122.3300624,Seattle,The Moore Theatre,"Jungle Blues, Three to One, Myelination "
Dorrance Dance ,4/13/18,49.2608724,-123.1139529,Vancouver,"Vancouver Playhouse, Dance House","Jungle Blues, Three to One, Myelination "
Dorrance Dance ,5/8/18,1.3501306,103.6338392,Singapore,"Singapore International Festival of Arts, Victoria Theatre",The Blues Project 
Dorrance Dance ,6/1/18,32.7876012,-79.9402728,Charleston,"Spoleto Festival, Memminger Auditorium","Jungle Blues, Three to One, Myelination "
Dorrance Dance ,6/28/18,40.6501038,-73.9495823,"Brooklyn, Ny, USA","BRIC Celebrate Brooklyn! Festival, Prospect Park Bandshell ",The Blues Project 
Dorrance Dance ,7/18/18,42.3320317,-73.0828803,Becket,"Jacob's Pillow Festival, Ted Shawn Theatre",Myelination
Dorrance Dance ,8/10/18,39.6426439,-106.3862088,Vail,Vail International Dance Festival,The Blues Project 
Dorrance Dance ,10/24/18,41.2587317,-95.9378732,Omaha,"Omaha Performing Arts, Orpheum Theater",Double Down 
Dorrance Dance ,10/31/18,42.68400365,-73.84798682,New York,Guggenheim Museum,Works & Process Rotunda Project
Dorrance Dance ,11/9/18,40.8106558,-73.6284614,Greenvale,Tilles Center,"Jungle Blues, Three to One, Myelination "
Dorrance Dance ,11/12/18,35.9131542,-79.05578,Chapel Hill,"Caroline Performing Arts, Memorial Hall","Jungle Blues, Three to One, Myelination "
Dorrance Dance ,11/15/18,35.6009498,-82.5540161,Asheville,Diana Wortham Theatre,"Jungle Blues, Three to One, Myelination "
Dorrance Dance ,11/18/18,35.612661,-77.3663538,Greenville,The Peace Center,"Jungle Blues, Three to One, Myelination "
Dorrance Dance ,12/5/18,40.6501038,-73.9495823,Brooklyn,BAM Fisher,Elemental 
Dorrance Dance ,1/15/19,43.207178,-71.537476,Concord,Capital Center,"Jungle Blues, Three to One, Myelination "
Dorrance Dance ,1/18/19,42.3602534,-71.0582912,Boston,"World Music Crash Arts, Emerson/Cutler Majestic Theatre","Jungle Blues, Three to One, Myelination "
Dorrance Dance ,1/23/19,38.2542376,-85.759407,Louisville,"The Kentucky Center, Brown Theatre",Double Down 
Dorrance Dance ,1/26/19,35.0867577,-89.8100858,Germantown,GPAC,Double Down 
Dorrance Dance ,1/30/19,30.2711286,-97.7436995,Austin,Texas Performing Arts,Double Down 
Dorrance Dance ,2/1/19,32.7762719,-96.7968559,Dallas,AT&T Performing Arts Center,Double Down 
Dorrance Dance ,2/9/19,29.7589382,-95.3676974,Houston,"SPA Huston, Jones Hall",Double Down 
Dorrance Dance ,2/12/19,36.0625843,-94.1574328,Fayetteville,"Walton Arts Center, Baum Walker Hall",Double Down 
Dorrance Dance ,3/14/19,40.1117174,-88.207301,Urbana,"Krannert Center, Tryon Festival Theatre","Jungle Blues, Three to One, Myelination "
Dorrance Dance ,3/28/19,42.68400365,-73.84798682,New York,New York City Center ,Mixed Repertoire
Dorrance Dance ,4/4/19,39.7391536,-104.9847034,Denver,"Newman Center, June Swaner Gates Concert Hall",Double Down 
Dorrance Dance ,4/6/19,40.0149856,-105.2705456,Boulder,Macky Auditorium,Double Down 
Dorrance Dance ,4/9/19,43.696215,-114.353097,Sun Valley,The Argyros,SOUNDspace
Dorrance Dance ,5/3/19,33.6633386,-117.903317,Costa Mesa,Segerstorm Center for the Arts,Double Down 
Dorrance Dance ,5/5/19,34.9528779,-120.453263,SAnta Barbara,"UC Santa Barbara, Granada Theatre",Double Down 
Dorrance Dance ,5/9/19,37.7792808,-122.4192363,San Francisco,Yerba Buena Center For The Arts,Double Down 
Dorrance Dance ,5/15/19,32.8335005,-117.2616203,La Jolla,"Art Power, UC San Diego",Double Down 
Dorrance Dance ,6/11/19,41.3082138,-72.9250518,New Haven,International Festival of Arts & Ideas,"Jungle Blues, Three to One, Myelination "
Dorrance Dance ,6/21/19,35.996653,-78.9018053,Durham,"American Dance Festival, Reynolds Industries Theater",SOUNDspace
Dorrance Dance ,7/6/19,44.6447234,-85.7673003,Interlochen,"Interlochen Arts Festival, Corson Auditorium ","Jungle Blues, Three to One, Myelination "
Dorrance Dance ,7/20/19,40.6656078,-73.0689516,Fire Island Pines,Fire Island Dance Festival,Destination Moon 
Dorrance Dance ,7/25/19,45.894309,-74.158058,Saint-Sauveur,"Festival Des Arts De Saint-Sauveur, Big Top",SOUNDspace
Dorrance Dance ,9/18/19,55.7507178,37.6176606,Moscow,"Danceinversion International Festival, Russian Academic Youth Theatre","Jungle Blues, Three to One, Myelination "
Dorrance Dance ,10/19/19,44.9772995,-93.2654692,Minneapolis,"Northrop and Twin Cities Tap Festival, Carlson Family Stage","Jungle Blues, Three to One, Myelination "
Dorrance Dance ,10/22/19,41.5910641,-93.6037149,Des Moines,Des Moines Civic Center,"Jungle Blues, Three to One, Myelination "
Dorrance Dance ,11/10/19,41.0409305,-73.7145746,Purchase,"Purchase College, Pepsico Theatre","Jungle Blues, Three to One, Myelination "
Dorrance Dance ,11/14/19,51.5073219,-0.1276474,London,Sadler's Wells,"Jungle Blues, Three to One, Myelination "
Dorrance Dance ,12/17/19,42.68400365,-73.84798682,New York,The Joyce Theater ,Mixed Repertoire
Dorrance Dance ,1/31/20,32.5461135,-85.41880302,Auburn,"Auburn University, Woltosz Theatre",Double Down 
Dorrance Dance ,2/5/20,25.7742658,-80.1936589,Miami,"Adrienne Arsht Center for the Performing Arts, Ziff Ballet Opera House",Double Down 
Dorrance Dance ,2/7/20,26.6159698,-80.0569927,Lake Worth,"Palm Beach State College, Duncan Theatre",Double Down 
Dorrance Dance ,2/21/20,42.2681569,-83.7312291,Ann Arbor,University of Michigan,"Jungle Blues, Three to One, Myelination "
Dorrance Dance ,2/29/20,45.421106,-75.690308,Ottawa,"National Arts Centre, Southam Hall","Jungle Blues, Three to One, Myelination "
Dorrance Dance ,3/4/20,34.14391585,-118.7611438,Los Angeles,USC Bovard Auditorium,SOUNDspace
Dorrance Dance ,3/7/20,38.3396367,-122.7010984,Rohnert Park,"Sonoma State University, Weill Hall",SOUNDspace
Dorrance Dance ,3/10/20,37.4248398,-122.1677058,Stanford,"Stanford University, Bing Concert Hall ",SOUNDspace (cancelled)
Dorrance Dance ,3/13/20,37.8708393,-122.2728639,Berkeley,"UC Berkely, Zellerbach Playhouse ",SOUNDspace (cancelled)
Dorrance Dance ,3/17/20,35.2827525,-120.6596156,San Luis Obispo,"Cal Poly, Performing Arts Center",SOUNDspace (cancelled)
Dorrance Dance ,3/19/20,32.8335005,-117.2616203,La Jolla,The Baker-Baum Concert Hall,SOUNDspace (cancelled)
Dorrance Dance ,3/24/20,34.14391585,-118.7611438,Los Angeles,"The Blue Ribbon's Children Festival, The Music Center's Dorothy Chandler Pavilion",SOUNDspace/Double Down (cancelled)
Dorrance Dance ,4/1/20,34.2700153,-114.0824451,Mesa,"Mesa Arts Center, Ikeda Theater",SOUNDspace (cancelled)
Dorrance Dance ,4/9/20,40.3492744,-74.6592958,Princeton,"Princeton University, Matthews Theatre",SOUNDspace (cancelled)
Dorrance Dance ,5/8/20,47.6038321,-122.3300624,Seattle,The Moore Theatre,Double Down (cancelled)
Dorrance Dance ,5/10/20,44.0505054,-123.0950506,Eugene,"Hult Center for the Performing Arts, Silva Concert Hall",SOUNDspace (cancelled)
Dorrance Dance ,5/15/20,49.2608724,-123.1139529,Vancouver,"Vancouver Playhouse, Dance House",Double down (cancelled)
Dorrance Dance ,7/1/20,42.3320317,-73.0828803,Becket,"Jacob's Pillow Festival, Ted Shawn Theatre",Mixed Repertoire (cancelled)
Dorrance Dance ,8/2/20,39.6426439,-106.3862088,Vail,Vail International Dance Festival,SOUNDspace (cancelled)