Order,Dance Company,Date,Latitude,Longitude ,City,Venue ,Production 
1,Kibbutz Contemporary Dance Company,2015,42.6953868,2.8844713,Peripgnan,Theatre de l'Archipel ,Lullaby For Bach 
2,Kibbutz Contemporary Dance Company,2015,47.6505715,9.4797531,Friedrichshafen,Kulturburo Friedrichshafen,Lullaby For Bach 
3,Kibbutz Contemporary Dance Company,2015,49.479236,8.439117,Ludwigshafen,Theater im Pfalzbau,Lullaby For Bach 
4,Kibbutz Contemporary Dance Company,2015,51.1981778,6.6916476,Neuss,Stadthalle Neuss,Lullaby For Bach 
5,Kibbutz Contemporary Dance Company,2015,52.1039941,9.3561569,Hameln,Theater Hameln ,Lullaby For Bach 
6,Kibbutz Contemporary Dance Company,2015,51.0324743,6.9881194,Leverkusen,Forum Leverkusen | KulturStadtLev,Lullaby For Bach 
7,Kibbutz Contemporary Dance Company,2015,50.5521486,9.676511,Fulda,Forum Leverkusen | KulturStadtLev,Lullaby For Bach 
8,Kibbutz Contemporary Dance Company,2015,50.5521486,9.676511,Fulda,Schlosstheater,Lullaby For Bach 
9,Kibbutz Contemporary Dance Company,2015,48.4716556,7.944378,Offenburg,Oberrheinhalle Offenburg,Lullaby For Bach 
10,Kibbutz Contemporary Dance Company,2015,49.991701,8.4138251,Russelshein,Theater Russelsheim,Lullaby For Bach 
11,Kibbutz Contemporary Dance Company,2015,50.0499945,10.233302,Schweinfurt,Theater der Stadt Schweinfurt,Lullaby For Bach 
12,Kibbutz Contemporary Dance Company,2015,52.4205588,10.7861682,Wolfsburg,Movementos Festival | Autostadt,Lullaby For Bach 
13,Kibbutz Contemporary Dance Company,2015,48.5915163,12.0212216,Furth,Stadttheater Furth,Lullaby For Bach 
14,Kibbutz Contemporary Dance Company,2015,50.735851,7.10066,Bonn,Theater Bonn,Lullaby For Bach 
15,Kibbutz Contemporary Dance Company,2015,51.9452704,7.1676886,Coesfeld,Konzert Theater Coesfeld,Lullaby For Bach 
16,Kibbutz Contemporary Dance Company,2015,40.3754434,49.8326748,Baku,Heydar Aliyev Palace | 2015 Europen Games,Lullaby For Bach 
17,Kibbutz Contemporary Dance Company,2015,35.8989818,14.5136759,Valletta,Malta International Arts Festival ,Lullaby For Bach 