Order,Dance Company,Date,Latitude,Longitude ,City,Venue,Production 
1,Kibbutz Contemporary Dance Company,2017,50.776351,6.083862,Aachen,Schrit_tmacher Festival ,Mother's Milk 
2,Kibbutz Contemporary Dance Company,2017,51.0324743,6.9881194,Leverkusen,Forum Leverkusen | KulturStadtLev,Mother's Milk 
3,Kibbutz Contemporary Dance Company,2017,51.250559,22.5701022,Lublin,Lubelski Teatr Tanca | International Dance Festival,Mother's Milk 
4,Kibbutz Contemporary Dance Company,2017,49.1922443,16.6113382,Brno,National Theatre Narodni divaldo Brno | Festival Divadelni Brno ,Mother's Milk 
5,Kibbutz Contemporary Dance Company,2017,37.5666791,126.9782914,Seol,MODAFE | International Modern Dance Festival ,Mother's Milk 
6,Kibbutz Contemporary Dance Company,2017,45.7973912,24.1519202,Sibiu ,Sibiu Internation Theatre Festival ,Mother's Milk 
7,Kibbutz Contemporary Dance Company,2017,34.79489125,32.98558938,Limassol,Rialto Festival | Tialto Theatre,Mother's Milk 
8,Kibbutz Contemporary Dance Company,2017,47.6505715,9.4797531,Friedrichshafen,Kulturburo Friedrichshafen,Mother's Milk 
9,Kibbutz Contemporary Dance Company,2017,43.4815899,-1.556116,Biarritz,Le Temps d'Aimer la Danse ,Mother's Milk 
10,Kibbutz Contemporary Dance Company,2017,8.9714493,-79.5341802,Panama City,PRISMA Festival de Danza Contemporanea | Teatro Anayansi ,Mother's Milk 
11,Kibbutz Contemporary Dance Company,2017,19.4326009,-99.1333416,Mexico City,CulturalUNAM | Sala Miguel Covarrubias,Mother's Milk 
12,Kibbutz Contemporary Dance Company,2017,33.7490987,-84.3901849,Atlanta,Kennesaw State Dance Theater,Mother's Milk 
13,Kibbutz Contemporary Dance Company,2017,32.7762719,-96.7968559,Dallas,AT&T PerformingArts Center,Mother's Milk 
14,Kibbutz Contemporary Dance Company,2017,3.4319329,-76.5113048,Cali,Teatro Municipal Enrique Buenaventura ,Mother's Milk 
15,Kibbutz Contemporary Dance Company,2017,4.5980772,-74.0761028,Bogota,Teatro Municipal Jorge Eliecer Gaitan,Mother's Milk 
16,Kibbutz Contemporary Dance Company,2017,6.2180499,-76.6526787,Medellin,Teatro Metropolitano Jose Guteierrez Gomez,Mother's Milk 
17,Kibbutz Contemporary Dance Company,2017,-12.0621065,-77.0365256,Lima,Gran Teatro Nacional del Peru ,Mother's Milk 