Dance Company,Date,Latitude,Longitude ,City,Venue ,Production 
Pina Bausch & Wupperyal ,5/12/15,48.8566101,2.3514992,Paris,Theatre du Chatelet ,
Pina Bausch & Wupperyal ,5/21/15,48.8566101,2.3514992,paris,Theatre de la Ville ,
Pina Bausch & Wupperyal ,5/24/15,48.8566101,2.3514992,Paris,Theatre de la Ville ,
Pina Bausch & Wupperyal ,5/28/15,48.8566101,2.3514992,Paris,Theatre de la Ville ,
Pina Bausch & Wupperyal ,12/31/15,48.8566101,2.3514992,Paris,Opera de Paris ,
Pina Bausch & Wupperyal ,1/29/16,48.6345313,2.4522217,Evry,"Theatre de I'Agora, scene nationale Evry ",
Pina Bausch & Wupperyal ,5/15/16,48.8566101,2.3514992,Paris ,Theatre de la Ville ,
Pina Bausch & Wupperyal ,5/26/16,48.8566101,2.3514992,Paris,Theatre du Chatelet ,
Pina Bausch & Wupperyal ,6/9/16,43.8374249,4.3600687,Nimes,Les Arenes de Nimes ,
Pina Bausch & Wupperyal ,9/3/16,48.8566101,2.3514992,Paris,Theatre du Chatelet ,
Pina Bausch & Wupperyal ,9/14/17,40.7306458,-73.9866136,New York City,Brooklyn Academy of Music (BAM) ,Café Muller 
Pina Bausch & Wupperyal ,9/29/17,45.42315095,-75.69332478,NAC,National Arts Center (NAC) ,The Rite of Spring
Pina Bausch & Wupperyal ,10/24/17,48.8566101,2.3514992,Paris,Opera de Paris ,
Pina Bausch & Wupperyal ,10/31/17,48.8566101,2.3514992,Paris,Opera de Paris ,
Pina Bausch & Wupperyal ,11/2/17,48.8566101,2.3514992,Paris,Opera de Paris ,
Pina Bausch & Wupperyal ,2/8/18,51.5073219,-0.1276474,London,Sadler's Wells ,
Pina Bausch & Wupperyal ,3/24/18,48.8566101,2.3514992,Paris,Opera de Paris ,
Pina Bausch & Wupperyal ,4/1/18,48.8566101,2.3514992,Paris,Opera de Paris - Palais Garnier,
Pina Bausch & Wupperyal ,5/12/18,48.8566101,2.3514992,Paris,Wuppertal Opera House ,Dimitris Papaioannou 
Pina Bausch & Wupperyal ,6/2/18,48.8566101,2.3514992,Paris,Wuppertal Opera House ,Lucien Oyen 
Pina Bausch & Wupperyal ,6/20/18,52.1337565,11.6190669,Amsterdam,Holland Festival Stadsschouwburg ,Lucien Oyen 
Pina Bausch & Wupperyal ,6/24/18,59.9132694,10.7391112,Oslo,Den Norske Opera & Ballett ,Lucien Oyen 
Pina Bausch & Wupperyal ,7/3/18,48.8566101,2.3514992,Paris,Theatre des Champs-Elysees ,Lucien Oyen 
Pina Bausch & Wupperyal ,3/21/19,48.8566101,2.3514992,Paris,Wuppertal Opera House ,Arien 
Pina Bausch & Wupperyal ,3/29/19,48.8566101,2.3514992,Paris,Wuppertal Opera House ,Palermo Palermo 
Pina Bausch & Wupperyal ,6/13/19,51.21567935,4.409899577,Stadsschouwburg,,1980
Pina Bausch & Wupperyal ,6/29/19,48.86914905,2.29201457,Chaillot,Theatre national de la Danse,"Bon Vyouage, Bob "
Pina Bausch & Wupperyal ,7/8/19,48.88623995,2.374885207,La Villette,Theatre de la Ville ,Since she 
Pina Bausch & Wupperyal ,3/7/20,51.26734925,7.192880466,Opernhaus,,The Seven Deadly Sins 
Pina Bausch & Wupperyal ,11/21/20,51.26734925,7.192880466,Opernhaus,Altes Schauspielhaus ,The Piece with the Ship