Order ,Dance Company,Date,Latitude,Longitude,City,Venue 
1,Riverdance,1/10/20,41.139981,-104.820246,Cheyenne,Cheyenne Civic Center 
2,Riverdance,1/10/20,45.4972159,-73.6103642,Montreal,"Salle Wilfrid-Pelletier, P lace des Arts "
3,Riverdance,1/31/20,44.9772995,-93.2654692,Minneapolis,State Theatre
4,Riverdance,2/4/20,41.8755546,-87.6244212,Chicago,Cadillac Palace Theatre 
5,Riverdance,2/12/20,39.7683331,-86.1583502,Indianapolis,Clowes Memorial Hall 
6,Riverdance,2/19/20,54.5969869,-5.9300992,Belfast,SSE Arena 
7,Riverdance,2/20/20,43.4200387,-83.9490365,Saginaw,Dow Event Center 
8,Riverdance,2/21/20,42.3486635,-83.0567375,Detroit,Fox Theatre Detroit 
9,Riverdance,3/7/20,42.096968,-75.914341,Binghamton,Broome County Forum Theatre 
10,Riverdance,3/10/20,42.68400365,-73.84798682,New York,Radio City Music Hall 
11,Riverdance,3/16/20,52.9534161,-1.1492773,Nottingham,Royal Concert Hall Notts 
12,Riverdance,3/19/20,41.4570418,-72.8231552,Wallingford,Toyota Oakdale Theatre 
13,Riverdance,3/24/20,43.0481221,-76.1474244,Syracuse,The Oncenter Civic Center Theaters 
14,Riverdance,3/27/20,42.8867166,-78.8783922,Buffalo,Shea's Buffalo Theatre 
15,Riverdance,5/5/20,55.856656,-4.2435817,Glasgow,Kings Theatre Glasgow
16,Riverdance,6/1/20,51.4816546,-3.1791934,Cardiff,St. David's Hall 
17,Riverdance,6/5/20,51.5073219,-0.1276474,London,Eventim Apollo Hammersmith 
18,Riverdance,6/11/20,53.3497645,-6.2602732,Dublin,The Gaiety Theatre 