Order,Dance Company,Date,Latitude,Longitude ,City,Venue ,Production 
1,Sankai Juku ,03/28/15,33.8829996,130.8749015,Kitakyushu,Kitakyushu Performing Arts Center,Meguri
2,Sankai Juku ,05/20/15,38.76666295,139.9051096,Tokyo,Setagaya Public Theartre,Meguri & Umusuna 
3,Sankai Juku ,06/07/15,35.0865692,135.9033813,Otsu,Biwako Hall Center for the Performing Arts,Umusuna 
4,Sankai Juku ,06/13/15,36.2382047,137.9687141,Matsumoto,Matsumoto Performing Arts Centre,Tobari 
5,Sankai Juku ,10/01/15,47.6038321,-122.3300624,Seattle,Meany Hall ,Umusuna 
6,Sankai Juku ,10/08/15,37.7792808,-122.4192363,San Francicso,Yerba Buena Center ,Umusuna 
7,Sankai Juku ,10/13/15,38.545379,-121.7445835,Davis,Jackson Hall ,Umusuna 
8,Sankai Juku ,10/16/15,34.054935,-118.244476,Los Angeles,Royce Hall ,Umusuna 
9,Sankai Juku ,10/23/15,42.2681569,-83.7312291,Ann Arbor,Power Center ,Umusuna 
10,Sankai Juku ,10/28/15,40.7306458,-73.9866136,New York,Haward Gilman Opera House ,Umusuna 
11,Sankai Juku ,11/03/15,45.421106,-75.690308,Ottawa,"National Arts Center, Southam Hall ",Umusuna 
12,Sankai Juku ,11/06/15,35.9131542,-79.05578,Chapel Hill,Memorial Hall ,Umusuna 
13,Sankai Juku ,11/09/15,37.2296566,-80.4136767,"Blacksburg, Virginia",Moss Arts Center ,Umusuna 