Order ,Dance Company,Date,Latitude,Longitude ,City,Venue ,Production 
1,Sankai Juku ,01/06/17,48.777449,2.2934309,Sceaux,Les Gemeaux - Scene National De Sceaux ,Meguri 
2,Sankai Juku ,01/12/17,43.6112422,3.8767337,Montpellier,Opera Berlioz/Le Corum ,Meguri
3,Sankai Juku ,01/17/17,45.7578137,4.8320114,Lyon ,Maison De La Danse ,Meguri 
4,Sankai Juku ,01/24/17,45.7774551,3.0819427,Clermont-Ferrand,La Comedie De Clermont-Ferrand,Meguri
5,Sankai Juku ,01/28/17,46.2528521,6.9478171,Monthey,Theatre Du Crochtan ,Meguri 
6,Sankai Juku ,01/31/17,46.6789116,7.1027113,Fribourg,Equilibre,Meguri
7,Sankai Juku ,02/03/17,49.0527528,2.0388736,Cergy-Pontoise,L'Apostrophe,Meguri 
8,Sankai Juku ,02/08/17,49.1828008,-0.3690815,Caen ,Theatre De Caen ,Meguri 
9,Sankai Juku ,02/27/17,46.056349,14.5065763,Ljubjana,Cultural and Congress Center,Meguri
10,Sankai Juku ,03/19/17,33.8829996,130.8749015,Kitakyushu ,Kitakyushu Performing Arts Center,Meguri
11,Sankai Juku ,07/02/17,35.247154,136.109385,Shiga ,Biwako Hall Center for the Performing Arts,Meguri
12,Sankai Juku ,07/28/17,25.0375198,121.5636796,Taipei,National Theater,Meguri
13,Sankai Juku ,10/13/17,43.6434,1.37799,Blagnac,Odyssud,Meguri
14,Sankai Juku ,10/17/13,43.4017377,3.6941845,Sete,Theatre Moliere,Meguri
15,Sankai Juku ,10/29/17,41.6934591,44.8014495,Tbilisi,Georgian National Opera Theater,Kinkain & Shonen
16,Sankai Juku ,11/03/17,3.4319329,-76.5113048,Cali ,Teatro Jorge Isaacs,Tobari 
17,Sankai Juku ,11/09/17,4.5980772,-74.0761028,Bogota,Teatro Colon,Tobari 
18,Sankai Juku ,11/12/17,10.4195841,-75.5271224,Cartagena,Teatro Heredia,Utsushi
19,Sankai Juku ,11/18/17,-0.2201641,-78.5123274,Quito,Teatro Sucre,Utsushi
20,Sankai Juku ,11/25/17,34.6968642,139.4049033,Tokyo ,The New National Theatre,Meguri 